eprtr_facility_id,eprtr_facility_name,eprtr_country,eprtr_activity,activity_label,eta,substitutable_TJ,heat_demand_TJ,note,routing_mode
https://registry.gdi-de.org/id/de.nw.inspire.pf.bube-eureg/arb-2017-978004-900-9139027,Biomasseheizkraftwerk Bergkamen,Germany,5(a),Hazardous waste disposal,,,,no LCP data,
https://registry.gdi-de.org/id/de.bb.inspire.pf.eureg/23024102,ArcelorMittal Eisenhüttenstadt GmbH ,Germany,2(b),Iron & Steel (BF/BOF),,,,no LCP data,
https://registry.gdi-de.org/id/de.nw.inspire.pf.bube-eureg/arb-2017-362028-300-9968049,EEW Energy from Waste Saarbrücken GmbH,Germany,5(b),Municipal waste incineration (WtE),1.0,3936.0,3345.6,,fuel_routing
http://paikkatiedot.fi/so/1002031/pf/ProductionFacility/0100239220.ProductionFacility,"Oy Linde Gas Ab, Kilpilahden vedyntuotantolaitos",Finland,4(b)(i),Basic inorganic chemicals / fertiliser,,,,no LCP data,
PL.MŚ/000000232.FACILITY,Dyckerhoff Polska Sp. z o.o.,Poland,3(c),Glass,0.95,64.0,32.71,,tech_split
RO.CAED/101BH0001.FACILITY,TERMOFICARE ORADEA SA,Romania,1(c),EXCLUDE — power stations,0.0,3369.72,0.0,,tech_split
NL.EEA/10815.FACILITY,AVR NV (Rotterdam),Netherlands,5(b),Municipal waste incineration (WtE),,,,no LCP data,
PL.MŚ/000000705.FACILITY,Elektrownia Pątnów II,Poland,1(c),EXCLUDE — power stations,0.0,10555.6,0.0,,tech_split
FR.CAED/10790.FACILITY,VERSALIS FRANCE S.A.S.,France,4(a)(i),Basic organic chemicals / olefins,1.0,1487.71,1086.03,,tech_split
https://registry.gdi-de.org/id/de.by.inspire.pf.ied/S00968,MHKW Weißenhorn,Germany,5(b),Municipal waste incineration (WtE),,,,no LCP data,
IT.CAED/200972003.FACILITY,Centrale di Cogenerazione,Italy,1(c),EXCLUDE — power stations,0.0,1214.64,0.0,,tech_split
https://registry.gdi-de.org/id/de.sh/50081814,Müllverbrennung Kiel GmbH & Co. KG - Müllheizkraftwerk Kiel ,Germany,5(b),Municipal waste incineration (WtE),,,,no LCP data,
BE.WA/119010000.FACILITY,LUMINUS - Centrale de Seraing,Belgium,1(c),EXCLUDE — power stations,0.0,607.69,0.0,,tech_split
