source_id,source_name,country,eprtr_activity,latitude,longitude,co2_t,annual_heat_demand_MWh_th,heat_demand_provenance,buffer_m,total_buffer_area_km2,masked_area_km2,mask_coverage_pct,tree_cover_km2,shrubland_km2,grassland_km2,cropland_km2,built_up_km2,bare_sparse_km2,snow_ice_km2,water_km2,wetland_km2,mangroves_km2,moss_lichen_km2,suitable_land_km2,suitable_pct_of_buffer,suitable_classes_used,data_source
FR.CAED/5914.FACILITY,NOVACARB,France,4(b)(iv),48.6394,6.26553,332000.0,964876.39,HEAT_DEMAND_FROM_SUBSTITUTABLE_THERMAL,10000,314.16,232.9823,74.2,50.4251,0.0,66.1368,66.3085,43.2274,0.7074,0.0,6.161,0.0161,0.0,0.0,133.1527,42.4,grassland_km2+shrubland_km2+bare_sparse_km2+cropland_km2,ESA_WorldCover_v200_2021_slope5deg_WDPA
ES.CAED/001562000.FACILITY,REPSOL QUIMICA,Spain,4(a)(i),41.194305,1.226122,777000.0,3219944.44,HEAT_DEMAND_FROM_SUBSTITUTABLE_THERMAL,10000,314.16,210.3388,67.0,48.1904,34.1301,64.3037,23.6011,36.1043,2.2805,0.0,1.7288,0.0,0.0,0.0,124.3153,39.6,grassland_km2+shrubland_km2+bare_sparse_km2+cropland_km2,ESA_WorldCover_v200_2021_slope5deg_WDPA
ES.CAED/002716000.FACILITY,DOW CHEMICAL IBERICA (DOW NORD),Spain,4(a)(viii),41.178667,1.220202,920000.0,1673680.56,HEAT_DEMAND_FROM_SUBSTITUTABLE_THERMAL,10000,314.16,215.6121,68.6,45.8636,31.9139,60.983,22.3693,45.0879,3.0014,0.0,6.3876,0.0054,0.0,0.0,118.2676,37.6,grassland_km2+shrubland_km2+bare_sparse_km2+cropland_km2,ESA_WorldCover_v200_2021_slope5deg_WDPA
FR.CAED/9415.FACILITY,ROQUETTE FRERES,France,8(b)(ii),48.85849,8.08496,157000.0,192103.53,HEAT_DEMAND_FROM_SUBSTITUTABLE_THERMAL,10000,314.16,132.1407,42.1,31.3635,0.0,19.0054,56.9286,21.2333,0.3402,0.0,3.2696,0.0,0.0,0.0,76.2743,24.3,grassland_km2+shrubland_km2+bare_sparse_km2+cropland_km2,ESA_WorldCover_v200_2021_slope5deg_WDPA
ES.CAED/002761000.FACILITY,SAICA 1,Spain,6(b),41.670085,-0.871259,207000.0,905704.44,HEAT_DEMAND_FROM_SUBSTITUTABLE_THERMAL,10000,314.16,225.3424,71.7,31.4893,3.471,74.2969,55.9692,50.75,7.6607,0.0,1.7053,0.0,0.0,0.0,141.3978,45.0,grassland_km2+shrubland_km2+bare_sparse_km2+cropland_km2,ESA_WorldCover_v200_2021_slope5deg_WDPA
IT.CAED/090181001.FACILITY,Sarlux srl,Italy,1(a),39.0971,9.0113,5931322.8616,1390959.96,HEAT_DEMAND_FROM_SUBSTITUTABLE_THERMAL,10000,314.16,183.9868,58.6,12.0093,2.7003,27.5571,7.7495,9.9371,0.5007,0.0,123.4777,0.0551,0.0,0.0,38.5076,12.3,grassland_km2+shrubland_km2+bare_sparse_km2+cropland_km2,ESA_WorldCover_v200_2021_slope5deg_WDPA
FR.CAED/6144.FACILITY,NORSKE SKOG GOLBEY,France,6(b),48.20944,6.42027,202000.0,89828.68,HEAT_DEMAND_FROM_SUBSTITUTABLE_THERMAL,10000,314.16,200.1742,63.7,89.2124,0.0,52.6279,36.8854,18.4071,0.1068,0.0,2.9082,0.0264,0.0,0.0,89.6201,28.5,grassland_km2+shrubland_km2+bare_sparse_km2+cropland_km2,ESA_WorldCover_v200_2021_slope5deg_WDPA
EL.CAED/100048.FACILITY,METLEN ENERGY & METALS S.A. - ALOUMINIUM OF GREECE,Greece,2(e),38.36083,22.69167,1190000.0,3413772.22,HEAT_DEMAND_FROM_SUBSTITUTABLE_THERMAL,10000,314.16,17.9277,5.7,5.9551,3.1032,6.7922,0.5773,1.3456,0.1522,0.0,0.0021,0.0,0.0,0.0,10.6249,3.4,grassland_km2+shrubland_km2+bare_sparse_km2+cropland_km2,ESA_WorldCover_v200_2021_slope5deg_WDPA
FR.CAED/5422.FACILITY,TOTALENERGIES RAFFINAGE FRANCE,France,1(a),45.67743,4.86113,1070000.0,236924.12,HEAT_DEMAND_FROM_SUBSTITUTABLE_THERMAL,10000,314.16,223.0812,71.0,40.2024,0.0,31.9713,44.0327,101.5965,0.7584,0.0,4.5129,0.0069,0.0,0.0,76.7624,24.4,grassland_km2+shrubland_km2+bare_sparse_km2+cropland_km2,ESA_WorldCover_v200_2021_slope5deg_WDPA
IT.CAED/280691001.FACILITY,RAFFINERIA SARPOM DI TRECATE,Italy,1(a),45.4372,8.7858,957567.804,55417.47,HEAT_DEMAND_FROM_SUBSTITUTABLE_THERMAL,10000,314.16,235.675,75.0,21.4173,0.0,33.1749,145.4072,34.2485,0.8753,0.0,0.5512,0.0006,0.0,0.0,179.4574,57.1,grassland_km2+shrubland_km2+bare_sparse_km2+cropland_km2,ESA_WorldCover_v200_2021_slope5deg_WDPA
IT.CAED/960101006.FACILITY,SASOL ITALY ENERGIA SRL,Italy,4(a),37.2191,15.1752,222255.0,,NO_HEAT_DATA,10000,314.16,204.9004,65.2,32.4921,1.0506,31.2248,26.4959,19.4064,1.1834,0.0,93.0058,0.0415,0.0,0.0,59.9547,19.1,grassland_km2+shrubland_km2+bare_sparse_km2+cropland_km2,ESA_WorldCover_v200_2021_slope5deg_WDPA
FR.CAED/788.FACILITY,RAYONIER A.M. TARTAS,France,6(a),43.83137,-0.82634,432000.0,97750.04,HEAT_DEMAND_FROM_SUBSTITUTABLE_THERMAL,10000,314.16,233.2386,74.2,112.2265,0.0065,49.1445,66.9808,4.3809,0.0623,0.0,0.4214,0.0156,0.0,0.0,116.1941,37.0,grassland_km2+shrubland_km2+bare_sparse_km2+cropland_km2,ESA_WorldCover_v200_2021_slope5deg_WDPA
PL.MŚ/000000068.FACILITY,Holcim Polska S.A.; ODDZIAŁ W BIELAWACH,Poland,3(c),52.8368148803711,17.9895725250244,1020000.0,,NO_HEAT_DATA,10000,314.16,265.0034,84.4,32.882,0.0,25.8819,189.198,8.6743,0.9859,0.0,6.4328,0.9484,0.0,0.0,216.0659,68.8,grassland_km2+shrubland_km2+bare_sparse_km2+cropland_km2,ESA_WorldCover_v200_2021_slope5deg_WDPA
ES.CAED/000704000.FACILITY,"BP ENERGÍA ESPAÑA, S.A.",Spain,1(a),39.976742,0.014574,1210000.0,516861.11,HEAT_DEMAND_FROM_SUBSTITUTABLE_THERMAL,10000,314.16,177.9221,56.6,29.1611,7.2219,49.1283,2.4764,31.0508,2.2175,0.0,56.56,0.106,0.0,0.0,61.0441,19.4,grassland_km2+shrubland_km2+bare_sparse_km2+cropland_km2,ESA_WorldCover_v200_2021_slope5deg_WDPA
PL.MŚ/000000197.FACILITY,ANWIL S.A.,Poland,4(c),52.7022247314453,18.9658336639404,829000.0,106500.0,HEAT_DEMAND_FROM_SUBSTITUTABLE_THERMAL,10000,314.16,211.6766,67.4,77.9447,0.0,22.0806,94.679,15.9465,0.4328,0.0,0.3328,0.2602,0.0,0.0,117.1924,37.3,grassland_km2+shrubland_km2+bare_sparse_km2+cropland_km2,ESA_WorldCover_v200_2021_slope5deg_WDPA
FR.CAED/7656.FACILITY,ARCELORMITTAL MEDITERRANEE,France,2(b),43.46551,4.93663,3732999.936,62092.44,HEAT_DEMAND_FROM_SUBSTITUTABLE_THERMAL,10000,314.16,186.4278,59.3,14.1923,11.8444,28.2523,1.8709,39.5449,3.9279,0.0,80.6275,6.1676,0.0,0.0,45.8955,14.6,grassland_km2+shrubland_km2+bare_sparse_km2+cropland_km2,ESA_WorldCover_v200_2021_slope5deg_WDPA
FR.CAED/9517.FACILITY,TEREOS STARCH & SWEETENERS EUROPE,France,8(b)(ii),48.1668,7.59363,156000.0,773358.63,HEAT_DEMAND_FROM_SUBSTITUTABLE_THERMAL,10000,314.16,171.5169,54.6,16.0218,0.0,17.0248,122.9693,14.6063,0.0733,0.0,0.8214,0.0,0.0,0.0,140.0674,44.6,grassland_km2+shrubland_km2+bare_sparse_km2+cropland_km2,ESA_WorldCover_v200_2021_slope5deg_WDPA
PL.MŚ/000000278.FACILITY,"Huta Miedzi ""Legnica""",Poland,2(e),51.1823844909668,16.1176204681396,231000.0,65138.89,HEAT_DEMAND_FROM_SUBSTITUTABLE_THERMAL,10000,314.16,293.9167,93.6,44.6338,0.0,39.8904,182.2201,22.3005,0.4377,0.0,3.6387,0.7954,0.0,0.0,222.5482,70.8,grassland_km2+shrubland_km2+bare_sparse_km2+cropland_km2,ESA_WorldCover_v200_2021_slope5deg_WDPA
FR.CAED/11135.FACILITY,ROQUETTE FRERES,France,8(b)(ii),50.63404,2.67593,501000.0,2073630.24,HEAT_DEMAND_FROM_SUBSTITUTABLE_THERMAL,10000,314.16,306.6805,97.6,39.1511,0.0,48.8866,197.7727,19.7786,0.0509,0.0,1.0145,0.0261,0.0,0.0,246.7102,78.5,grassland_km2+shrubland_km2+bare_sparse_km2+cropland_km2,ESA_WorldCover_v200_2021_slope5deg_WDPA
PL.MŚ/000000212.FACILITY,Kronospan Mielec Sp. z o.o.,Poland,6(b),50.307014465332,21.470874786377,266000.0,200722.22,HEAT_DEMAND_FROM_SUBSTITUTABLE_THERMAL,10000,314.16,174.5118,55.5,42.2442,0.0,40.0303,72.4897,18.9457,0.0846,0.0,0.5924,0.1249,0.0,0.0,112.6046,35.8,grassland_km2+shrubland_km2+bare_sparse_km2+cropland_km2,ESA_WorldCover_v200_2021_slope5deg_WDPA
FR.CAED/7646.FACILITY,RHONE ENERGIES FOS-SUR-MER SAS,France,1(a),43.44832,4.93111,626000.0,1909228.66,HEAT_DEMAND_INFERRED_FROM_TOTAL_FUEL,10000,314.16,192.9808,61.4,13.4276,11.7602,27.1966,1.7175,43.6151,4.4488,0.0,83.6841,7.1309,0.0,0.0,45.1231,14.4,grassland_km2+shrubland_km2+bare_sparse_km2+cropland_km2,ESA_WorldCover_v200_2021_slope5deg_WDPA
FR.CAED/6155.FACILITY,EGGER PANNEAUX ET DECORS,France,6(b),48.33671,6.65654,199000.0,51412.17,HEAT_DEMAND_FROM_SUBSTITUTABLE_THERMAL,10000,314.16,196.6086,62.6,86.0732,0.0,60.0983,44.6273,4.9022,0.0647,0.0,0.8293,0.0138,0.0,0.0,104.7903,33.4,grassland_km2+shrubland_km2+bare_sparse_km2+cropland_km2,ESA_WorldCover_v200_2021_slope5deg_WDPA
FR.CAED/1260.FACILITY,STE BEARNAISE DE GESTION INDUSTRIELLE,France,1(b),43.41473,-0.61294,157000.0,570618.58,HEAT_DEMAND_INFERRED_FROM_TOTAL_FUEL,10000,314.16,139.1183,44.3,25.6694,0.0013,28.3142,75.5439,9.002,0.1987,0.0,0.3887,0.0,0.0,0.0,104.0581,33.1,grassland_km2+shrubland_km2+bare_sparse_km2+cropland_km2,ESA_WorldCover_v200_2021_slope5deg_WDPA
FR.CAED/791.FACILITY,LES DERIVES RESINIQUES ET TERPENIQUES,France,4(a)(ii),43.94703,-1.29872,136000.0,110988.71,HEAT_DEMAND_FROM_SUBSTITUTABLE_THERMAL,10000,314.16,225.165,71.7,115.265,0.0336,47.3063,3.6964,2.6478,1.7755,0.0,54.4384,0.0019,0.0,0.0,52.8118,16.8,grassland_km2+shrubland_km2+bare_sparse_km2+cropland_km2,ESA_WorldCover_v200_2021_slope5deg_WDPA
PL.MŚ/000000136.FACILITY,"Celsa ""Huta Ostrowiec"" Sp.o.o.",Poland,2(b),50.9482231140137,21.4450912475586,120000.0,868583.33,HEAT_DEMAND_FROM_SUBSTITUTABLE_THERMAL,10000,314.16,111.4116,35.5,46.2638,0.0,14.6652,36.8266,13.3397,0.117,0.0,0.1386,0.0608,0.0,0.0,51.6088,16.4,grassland_km2+shrubland_km2+bare_sparse_km2+cropland_km2,ESA_WorldCover_v200_2021_slope5deg_WDPA
ES.CAED/003378000.FACILITY,CEASA ENCE- FÁBRICA DE NAVIA,Spain,6(a),43.54111,-6.72114,1330000.0,19941.67,HEAT_DEMAND_FROM_SUBSTITUTABLE_THERMAL,10000,314.16,42.7531,13.6,9.2209,0.0244,19.3318,10.8981,2.6281,0.0209,0.0,0.6275,0.0013,0.0,0.0,30.2752,9.6,grassland_km2+shrubland_km2+bare_sparse_km2+cropland_km2,ESA_WorldCover_v200_2021_slope5deg_WDPA
FR.CAED/7588.FACILITY,FIBRE EXCELLENCE PROVENCE,France,6(a),43.7932,4.66201,492000.0,58094.36,HEAT_DEMAND_FROM_SUBSTITUTABLE_THERMAL,10000,314.16,186.0177,59.2,50.6212,10.0168,41.3919,66.9078,15.2335,1.0702,0.0,0.76,0.0162,0.0,0.0,119.3867,38.0,grassland_km2+shrubland_km2+bare_sparse_km2+cropland_km2,ESA_WorldCover_v200_2021_slope5deg_WDPA
EE.KAUR.TTR/88.FACILITY,"Horizon Tselluloosi ja Paberi AS, Kehra paberivabrik",Estonia,6(b),59.3405854971,25.3401582309,7090.0,10694.44,HEAT_DEMAND_FROM_SUBSTITUTABLE_THERMAL,10000,314.16,261.7244,83.3,158.7365,0.0465,52.7567,46.9372,1.4691,0.411,0.0,1.1404,0.227,0.0,0.0,100.1514,31.9,grassland_km2+shrubland_km2+bare_sparse_km2+cropland_km2,ESA_WorldCover_v200_2021_slope5deg_WDPA
FR.CAED/9964.FACILITY,SOC D'EXPLOITATION THERMIQUE DU MIRAIL,France,5(b),43.55826,1.39858,173000.0,1719.9,HEAT_DEMAND_FROM_SUBSTITUTABLE_THERMAL,10000,314.16,229.7308,73.1,50.2227,0.0,31.1702,31.0697,115.8173,0.5332,0.0,0.9164,0.0013,0.0,0.0,62.7731,20.0,grassland_km2+shrubland_km2+bare_sparse_km2+cropland_km2,ESA_WorldCover_v200_2021_slope5deg_WDPA
FR.CAED/10011.FACILITY,FIBRE EXCELLENCE SAINT-GAUDENS SAS,France,6(a),43.09995,0.72184,763000.0,13360.02,HEAT_DEMAND_FROM_SUBSTITUTABLE_THERMAL,10000,314.16,140.1317,44.6,24.571,0.0,55.0963,50.4597,9.6579,0.0499,0.0,0.2969,0.0,0.0,0.0,105.6059,33.6,grassland_km2+shrubland_km2+bare_sparse_km2+cropland_km2,ESA_WorldCover_v200_2021_slope5deg_WDPA
IT.CAED/330282002.FACILITY,Stabilimento di Tolmezzo,Italy,6(b),46.3939,13.0169,107120.2996,484957.78,HEAT_DEMAND_FROM_SUBSTITUTABLE_THERMAL,10000,314.16,44.9495,14.3,12.795,0.0,11.7405,2.4484,6.5775,2.9534,0.0,8.4187,0.0162,0.0,0.0,17.1423,5.5,grassland_km2+shrubland_km2+bare_sparse_km2+cropland_km2,ESA_WorldCover_v200_2021_slope5deg_WDPA
FR.CAED/662.FACILITY,SMURFIT WESTROCK CELLULOSE DU PIN,France,6(a),44.62884,-0.97612,636000.0,4862.9,HEAT_DEMAND_FROM_SUBSTITUTABLE_THERMAL,10000,314.16,23.0713,7.3,10.7455,0.0006,4.7782,1.108,6.2743,0.0532,0.0,0.1083,0.0032,0.0,0.0,5.94,1.9,grassland_km2+shrubland_km2+bare_sparse_km2+cropland_km2,ESA_WorldCover_v200_2021_slope5deg_WDPA
FR.CAED/3936.FACILITY,LAT NITROGEN FRANCE,France,4(b)(ii),49.42375,1.03674,630000.0,1025574.0,HEAT_DEMAND_FROM_SUBSTITUTABLE_THERMAL,10000,314.16,154.4791,49.2,66.0822,0.0,18.2397,12.2584,53.8218,0.3014,0.0,3.7721,0.0035,0.0,0.0,30.7995,9.8,grassland_km2+shrubland_km2+bare_sparse_km2+cropland_km2,ESA_WorldCover_v200_2021_slope5deg_WDPA
PL.MŚ/000000053.FACILITY,Grupa Ożarów S.A.,Poland,3(c),50.9304275512695,21.6765041351318,1810000.0,109305.56,HEAT_DEMAND_FROM_SUBSTITUTABLE_THERMAL,10000,314.16,240.7835,76.6,107.964,0.0,23.7817,103.0044,4.9008,1.1184,0.0,0.0119,0.0023,0.0,0.0,127.9045,40.7,grassland_km2+shrubland_km2+bare_sparse_km2+cropland_km2,ESA_WorldCover_v200_2021_slope5deg_WDPA
