source_id,source_name,latitude,longitude,pvgis_year,annual_kwh_per_kwp,annual_cf,hourly_file,error
FR.CAED/5422.FACILITY,TOTALENERGIES RAFFINAGE FRANCE,45.67743,4.86113,2023,1518.83,0.173383,/Users/annayuen/Desktop/IECC/industrial_decarb/LCOH_EU_workflow/off_grid_electricity_run/outputs/pvgis_hourly/FR.CAED_5422.FACILITY.csv,
FR.CAED/788.FACILITY,RAYONIER A.M. TARTAS,43.83137,-0.82634,2023,1495.28,0.170695,/Users/annayuen/Desktop/IECC/industrial_decarb/LCOH_EU_workflow/off_grid_electricity_run/outputs/pvgis_hourly/FR.CAED_788.FACILITY.csv,
PL.MŚ/000000068.FACILITY,Holcim Polska S.A.; ODDZIAŁ W BIELAWACH,52.8368148803711,17.9895725250244,2023,1176.51,0.134304,/Users/annayuen/Desktop/IECC/industrial_decarb/LCOH_EU_workflow/off_grid_electricity_run/outputs/pvgis_hourly/PL.MŚ_000000068.FACILITY.csv,
FR.CAED/9517.FACILITY,TEREOS STARCH & SWEETENERS EUROPE,48.1668,7.59363,2023,1370.87,0.156492,/Users/annayuen/Desktop/IECC/industrial_decarb/LCOH_EU_workflow/off_grid_electricity_run/outputs/pvgis_hourly/FR.CAED_9517.FACILITY.csv,
FR.CAED/7656.FACILITY,ARCELORMITTAL MEDITERRANEE,43.46551,4.93663,2023,1923.81,0.219613,/Users/annayuen/Desktop/IECC/industrial_decarb/LCOH_EU_workflow/off_grid_electricity_run/outputs/pvgis_hourly/FR.CAED_7656.FACILITY.csv,
IT.CAED/960101006.FACILITY,SASOL ITALY ENERGIA SRL,37.2191,15.1752,2023,1863.57,0.212737,/Users/annayuen/Desktop/IECC/industrial_decarb/LCOH_EU_workflow/off_grid_electricity_run/outputs/pvgis_hourly/IT.CAED_960101006.FACILITY.csv,
PL.MŚ/000000197.FACILITY,ANWIL S.A.,52.7022247314453,18.9658336639404,2023,1176.62,0.134317,/Users/annayuen/Desktop/IECC/industrial_decarb/LCOH_EU_workflow/off_grid_electricity_run/outputs/pvgis_hourly/PL.MŚ_000000197.FACILITY.csv,
ES.CAED/000704000.FACILITY,"BP ENERGÍA ESPAÑA, S.A.",39.976742,0.014574,2023,1991.08,0.227292,/Users/annayuen/Desktop/IECC/industrial_decarb/LCOH_EU_workflow/off_grid_electricity_run/outputs/pvgis_hourly/ES.CAED_000704000.FACILITY.csv,
PL.MŚ/000000278.FACILITY,"Huta Miedzi ""Legnica""",51.1823844909668,16.1176204681396,2023,1234.85,0.140964,/Users/annayuen/Desktop/IECC/industrial_decarb/LCOH_EU_workflow/off_grid_electricity_run/outputs/pvgis_hourly/PL.MŚ_000000278.FACILITY.csv,
FR.CAED/11135.FACILITY,ROQUETTE FRERES,50.63404,2.67593,2023,1231.97,0.140635,/Users/annayuen/Desktop/IECC/industrial_decarb/LCOH_EU_workflow/off_grid_electricity_run/outputs/pvgis_hourly/FR.CAED_11135.FACILITY.csv,
