run_type,source_id,source_name,country,iso3_country,eprtr_activity,latitude,longitude,annual_heat_demand_MWh_th,heat_demand_provenance,pvgis_year,pvgis_annual_cf,pvgis_kwh_per_kwp,bnef_annual_cost_usd_kw_yr,bnef_data_source,site_pv_lcoe_eur_mwh,bnef_country_lcoe_eur_mwh,lcoe_delta_eur_mwh,lcoh_hb_site_specific_eur_mwhth,lcoh_hb_bnef_eur_mwhth,lcoh_hb_delta_eur_mwhth,lcoh_gas_eur_mwhth,lcoh_hb_vs_gas_delta_eur_mwhth,electricity_needed_mwh_yr,solar_capacity_needed_mwp,land_needed_km2,suitable_land_km2,land_feasibility,land_surplus_deficit_km2,computation_status,notes
offgrid_bnef_pv,ES.CAED/001526000.FACILITY,REPSOL COMPLEJO INDUSTRIAL A CORUÑA,Spain,ESP,1(a),43.353129,-8.446743,872779.48,HEAT_DEMAND_FROM_SUBSTITUTABLE_THERMAL,2023,0.174235,1526.3,49.78,bnef,30.038,31.314,-1.276,35.528,36.946,-1.418,73.216,-37.688,969755.0,635.364,63.5364,18.5375,INFEASIBLE,-45.0,COMPUTED,
offgrid_bnef_pv,FR.CAED/5914.FACILITY,NOVACARB,France,FRA,4(b)(iv),48.6394,6.26553,791198.64,HEAT_DEMAND_FROM_SUBSTITUTABLE_THERMAL,2023,0.151461,1326.8,42.22,bnef,29.307,39.096,-9.789,34.716,45.593,-10.877,99.913,-65.197,879109.6,662.58,66.258,133.1527,FEASIBLE,66.89,COMPUTED,SITE_LCOE_DEVIATES_GT20PCT_FROM_BNEF
offgrid_bnef_pv,ES.CAED/001562000.FACILITY,REPSOL QUIMICA,Spain,ESP,4(a)(i),41.194305,1.226122,2575955.56,HEAT_DEMAND_FROM_SUBSTITUTABLE_THERMAL,2023,0.219488,1922.72,49.78,bnef,23.845,31.314,-7.469,28.647,36.946,-8.299,73.216,-44.569,2862172.8,1488.61,148.861,124.3153,INFEASIBLE,-24.55,COMPUTED,SITE_LCOE_DEVIATES_GT20PCT_FROM_BNEF
offgrid_bnef_pv,ES.CAED/002716000.FACILITY,DOW CHEMICAL IBERICA (DOW NORD),Spain,ESP,4(a)(viii),41.178667,1.220202,1338944.44,HEAT_DEMAND_FROM_SUBSTITUTABLE_THERMAL,2023,0.21943,1922.21,49.78,bnef,23.851,31.314,-7.463,28.654,36.946,-8.292,73.216,-44.562,1487716.0,773.963,77.3963,118.2676,FEASIBLE,40.87,COMPUTED,SITE_LCOE_DEVIATES_GT20PCT_FROM_BNEF
offgrid_bnef_pv,FR.CAED/9415.FACILITY,ROQUETTE FRERES,France,FRA,8(b)(ii),48.85849,8.08496,163288.0,HEAT_DEMAND_FROM_SUBSTITUTABLE_THERMAL,2023,0.151044,1323.15,42.22,bnef,29.388,39.096,-9.708,34.806,45.593,-10.787,99.913,-65.107,181431.1,137.121,13.7121,76.2743,FEASIBLE,62.56,COMPUTED,SITE_LCOE_DEVIATES_GT20PCT_FROM_BNEF
offgrid_bnef_pv,ES.CAED/002761000.FACILITY,SAICA 1,Spain,ESP,6(b),41.670085,-0.871259,724563.56,HEAT_DEMAND_FROM_SUBSTITUTABLE_THERMAL,2023,0.224703,1968.4,49.78,bnef,23.292,31.314,-8.022,28.032,36.946,-8.914,73.216,-45.184,805070.6,408.998,40.8998,141.3978,FEASIBLE,100.5,COMPUTED,SITE_LCOE_DEVIATES_GT20PCT_FROM_BNEF
offgrid_bnef_pv,IT.CAED/090181001.FACILITY,Sarlux srl,Italy,ITA,1(a),39.0971,9.0113,1084948.77,HEAT_DEMAND_FROM_SUBSTITUTABLE_THERMAL,2023,0.221597,1941.19,47.52,bnef,22.546,33.128,-10.582,27.204,38.962,-11.758,83.636,-56.432,1205498.6,621.01,62.101,38.5076,INFEASIBLE,-23.59,COMPUTED,SITE_LCOE_DEVIATES_GT20PCT_FROM_BNEF
offgrid_bnef_pv,FR.CAED/6144.FACILITY,NORSKE SKOG GOLBEY,France,FRA,6(b),48.20944,6.42027,71862.94,HEAT_DEMAND_FROM_SUBSTITUTABLE_THERMAL,2023,0.153706,1346.47,42.22,bnef,28.879,39.096,-10.217,34.24,45.593,-11.353,99.913,-65.673,79847.7,59.302,5.9302,89.6201,FEASIBLE,83.69,COMPUTED,SITE_LCOE_DEVIATES_GT20PCT_FROM_BNEF
offgrid_bnef_pv,EL.CAED/100048.FACILITY,METLEN ENERGY & METALS S.A. - ALOUMINIUM OF GREECE,Greece,GRC,2(e),38.36083,22.69167,2457916.0,HEAT_DEMAND_FROM_SUBSTITUTABLE_THERMAL,2023,0.200518,1756.54,51.73,proxied,27.123,38.332,-11.209,32.29,44.744,-12.454,70.504,-38.214,2731017.8,1554.773,155.4773,10.6249,INFEASIBLE,-144.85,COMPUTED,SITE_LCOE_DEVIATES_GT20PCT_FROM_BNEF
offgrid_bnef_pv,FR.CAED/5422.FACILITY,TOTALENERGIES RAFFINAGE FRANCE,France,FRA,1(a),45.67743,4.86113,184800.81,HEAT_DEMAND_FROM_SUBSTITUTABLE_THERMAL,2023,0.173383,1518.83,42.22,bnef,25.602,39.096,-13.494,30.599,45.593,-14.994,99.913,-69.314,205334.2,135.192,13.5192,76.7624,FEASIBLE,63.24,COMPUTED,SITE_LCOE_DEVIATES_GT20PCT_FROM_BNEF
