source_id,source_name,country,eprtr_activity,latitude,longitude,co2_t,co2_year,match_method
PL.MŚ/000000067.FACILITY,"CEMENTOWNIA ""WARTA"" SPÓŁKA AKCYJNA",Poland,3(c),51.1030540466309,18.9263877868652,1550000.0,2024,id_direct
IT.CAED/100752001.FACILITY,Ahlstrom-Munksjö Italia S.p.A.,Italy,6(b),45.2533,7.5397,134557.0,2024,id_direct
FR.CAED/82.FACILITY,TEREOS FRANCE,France,8(b)(ii),49.39409,3.37064,111000.0,2024,id_direct
FR.CAED/132.FACILITY,TEREOS FRANCE,France,8(b)(ii),49.83966,3.48056,400000.0,2024,id_direct
FR.CAED/3834.FACILITY,ESSO RAFFINAGE,France,1(a),49.48838,0.56521,1752000.0,2024,id_direct
PL.MŚ/000000063.FACILITY,LAFARGE CEMENT S.A,Poland,3(c),50.8286399841309,20.2727031707764,863000.0,2024,id_direct
IT.CAED/270391001.FACILITY,RAFFINERIA DI SANNAZZARO DE' BURGONDI,Italy,1(a),45.0997,8.8768,1360641.63,2024,id_direct
FR.CAED/3833.FACILITY,EXXONMOBIL CHEMICAL FRANCE,France,4(a)(i),49.48838,0.56521,413000.0,2024,id_direct
ES.CAED/001998000.FACILITY,ALUMINA ESPAÑOLA S.A.,Spain,4(b)(v),43.697515,-7.454929,399000.0,2024,id_direct
FR.CAED/6359.FACILITY,INEOS POLYMERS SARRALBE SAS,France,4(a)(viii),49.0053,7.03121,123000.0,2024,id_direct
PL.MŚ/000000109.FACILITY,Trzuskawica Spółka Akcyjna Zakład Kujawy,Poland,3(c),52.8271408081055,18.0081462860107,177000.0,2024,id_direct
FR.CAED/10727.FACILITY,TEREOS FRANCE,France,8(b)(ii),50.20943,2.76763,106000.0,2024,id_direct
PL.MŚ/000000062.FACILITY,"Cementownia ""Odra"" S.A.",Poland,3(c),50.6806411743164,17.9139156341553,291000.0,2024,id_direct
FR.CAED/4602.FACILITY,SYLVAMO FRANCE SA,France,6(b),45.86907,0.82809,897000.0,2024,id_direct
FR.CAED/5125.FACILITY,SAICA PAPER FRANCE,France,6(a),45.21534,4.81297,234000.0,2024,id_direct
PL.MŚ/000000190.FACILITY,CEMEX Polska Sp. z o.o. - Zakład Cementownia Rudniki,Poland,3(c),50.8750915527344,19.2573299407959,305000.0,2024,id_direct
EL.CAED/100066.FACILITY,MOTOR OIL HELLLAS-CORINTH REFINERIES S.A.,Greece,1(a),37.91778,23.07361,2088000.0,2024,id_direct
FR.CAED/3466.FACILITY,TEREOS FRANCE,France,8(b)(ii),48.7222,3.92123,114000.0,2024,id_direct
PL.MŚ/000000215.FACILITY,CEMEX Polska Sp. z o.o - Zakład Cementownia Chełm,Poland,3(c),51.1371726989746,23.5443572998047,861000.0,2024,id_direct
IT.CAED/201532001.FACILITY,Impianto di termovalorizzazione Silla 2,Italy,5(b),45.5042,9.0706,296456.77119999996,2024,id_direct
FR.CAED/5900.FACILITY,SOLVAY OPERATIONS FRANCE,France,4(b)(iv),48.6196,6.35778,452000.0,2024,id_direct
