eprtr_facility_id,eprtr_base_id,eprtr_facility_name,eprtr_country,eprtr_activity,eprtr_lat,eprtr_lon,eprtr_co2_t,eprtr_co2_year,match_method,match_km,lcp_base_id,lcp_inspire_id,lcp_city,lcp_n_base_ids,lcp_n_parts,lcp_lat,lcp_lon,lcp_NaturalGas_TJ,lcp_Coal_TJ,lcp_Lignite_TJ,lcp_OtherSolidFuels_TJ,lcp_LiquidFuels_TJ,lcp_Peat_TJ,lcp_OtherGases_TJ,lcp_Biomass_TJ,lcp_substitutable_thermal_TJ,lcp_total_TJ
FR.EEA/052.01648.FACILITY,FR.EEA/052.01648,DARBO SAS,France,6(b),43.92,-1.21,102000.0,2013,no_match,,,,,0,,,,,,,,,,,,,
SE.CAED/10024885.Facility,SE.CAED/10024885.Facility,LKAB - Kirunagruvan,Sweden,2(a),67.84939,20.19092,387098.0,2024,no_match,,,,,0,,,,,,,,,,,,,
FR.CAED/173.FACILITY,FR.CAED/173,TEREOS FRANCE,France,1(c),49.34846,2.67969,101000.0,2011,id_direct,0.0,FR.CAED/173,FR.CAED/173.A.INSTALLATIONPART,CHEVRIERES,1,1.0,49.3485,2.6797,803.234802,,,,,,114.403702,,803.234802,917.6385039999999
CZ.MZP.U426/CZ95978240.FACILITY,CZ.MZP.U426/CZ95978240,Elektrárna Ledvice,Czechia,1(c),50.57647677,13.78065568,3046395.014828,2022,spatial_nearest,0.0,CZ.CHMI.0010/CZ0010; CZ.CHMI.0011/CZ0011,CZ.CHMI.0010/CZ0010.PART,Bílina,2,2.0,50.576475,13.780655555555555,116.991602,39.753823,38771.850124,,,,,,38928.595549,38928.595549
RO.CAED/101CT0001.FACILITY,RO.CAED/101CT0001,SC ROMPETROL ENERGY SA,Romania,1(c),44.346828,28.648292,158000.0,2024,spatial_nearest,0.052,RO.CAED/101CT0111; RO.CAED/101CT0211; RO.EEA/RO0073; RO.EEA/RO0075,RO.CAED/101CT0111.PART,Navodari,4,4.0,44.346536085000004,28.647754945000003,,,,,216.759,,1076.239,,216.759,1292.998
IT.CAED/170142003.FACILITY,IT.CAED/170142003,ITALIANA COKE SRL,Italy,1(d),44.3808,8.2897,126602.0,2024,no_match,,,,,0,,,,,,,,,,,,,
NL.RIVM/000115036.FACILITY,NL.RIVM/000115036,LyondellBasell Covestro Manufacturing Maasvlakte VOF,Netherlands,4(a)(ii),51.96786,4.01932,123000.0,2024,spatial_nearest,0.286,NL.RIVM/115036001,NL.RIVM/115036001.PART,Maasvlakte Rotterdam,1,1.0,51.96893,4.02312,693.494325,,,,,,,,693.494325,693.494325
https://data.ied_registry.omgeving.vlaanderen.be/id/productionfacility/BE.VL.000000664.FACILITY,https://data.ied_registry.omgeving.vlaanderen.be/id/productionfacility/BE.VL.000000664,IVAGO - SITE PROEFTUINSTRAAT,Belgium,5(b),51.02076,3.74149,103000.0,2024,no_match,,,,,0,,,,,,,,,,,,,
ES.CAED/008417000.FACILITY,ES.CAED/008417000,IDAE SANT JOAN,Spain,1(c),42.217371,2.517295,102000.0,2019,id_direct,0.0,ES.CAED/008417000,ES.CAED/008417000.PART,Sant Joan les Fonts,1,1.0,42.217371,2.517295,1300.0,,,,,,,,1300.0,1300.0
UK.CAED/EW_EA-754.FACILITY,UK.CAED/EW_EA-754,Humber Oil Refinery EPR/UP3230LR,United Kingdom,1(c),53.631684,-0.24406367,2080000.0,2019,spatial_nearest,0.0,UK.CAED/EW_EA-754-2; UK.CAED/EW_EA-754-3; UK.CAED/EW_EA-754-4; UK.CAED/EW_EA-754-5; UK.CAED/EW_EA-754-6; UK.CAED/EW_EA-754-7,UK.CAED/EW_EA-754-2.PART,South Killingholme,6,6.0,53.631684,-0.24406367000000004,,,,,,,13319.0,,,13319.0
FR.CAED/2190.FACILITY,FR.CAED/2190,SOTRAVAL-SPL,France,5(b),48.41292,-4.50881,152000.0,2024,no_match,,,,,0,,,,,,,,,,,,,
FR.CAED/7652.FACILITY,FR.CAED/7652,IMERYS ALUMINATES,France,3(c)(iii),43.46551,4.93663,140000.0,2024,spatial_nearest,0.001,FR.CAED/7656,FR.CAED/7656.A.INSTALLATIONPART,FOS SUR MER,1,1.0,43.4655,4.93663,,,,,223.532776,,5775.787948,,223.532776,5999.320724
UK.LAED/E375_434.FACILITY,UK.LAED/E375_434,EGGER (UK) LIMITED,United Kingdom,6(b),54.9774,-2.0874,208000.0,2016,no_match,,,,,0,,,,,,,,,,,,,
https://registry.gdi-de.org/id/de.bw.lubw.inspire.pf/pf-450-34033281-00000000,https://registry.gdi-de.org/id/de.bw.lubw.inspire.pf/pf-450-34033281-00000000,TREA Breisgau ,Germany,5(b),47.89016,7.61646,156000.0,2024,no_match,,,,,0,,,,,,,,,,,,,
AT.EEA/20000.00272.FACILITY,AT.EEA/20000.00272,Energie AG Oberösterreich Erzeugung GmbH,Austria,1(c),48.032223,12.843889,203000.0,2016,no_match,,,,,0,,,,,,,,,,,,,
DK.EEA/1533.FACILITY,DK.EEA/1533,"DONG ENERGY THERMAL POWER A/S, Stignæsværket",Denmark,1(c),55.2072395452253,11.2512953746156,156000.0,2010,no_match,,,,,0,,,,,,,,,,,,,
DK.CAED/000104750.FACILITY,DK.CAED/000104750,Vestfyns Affalds og Deponeringsanlæg I/S §60 selsk,Denmark,5(d),55.50721329915387,9.825179250121925,1.0784019,2024,no_match,,,,,0,,,,,,,,,,,,,
FR.CAED/10845.FACILITY,FR.CAED/10845,ARCELORMITTAL FRANCE,France,2(c)(i),51.01638,2.3358,5994999.808,2024,no_match,,,,,0,,,,,,,,,,,,,
CH.CAED/000000175.Facility,CH.CAED/000000175.Facility,Holcim (Schweiz) AG,Switzerland,3(c)(i),47.5217,8.2391,515000.0,2022,no_match,,,,,0,,,,,,,,,,,,,
BG.CAED/009000015.FACILITY,BG.CAED/009000015,Lime company Kalcit,Bulgaria,3(c)(iii),42.026443,24.864027,111505.0,2020,no_match,,,,,0,,,,,,,,,,,,,
https://registry.gdi-de.org/id/de.by.inspire.pf.ied/S00114,https://registry.gdi-de.org/id/de.by.inspire.pf.ied/S00114,"Wacker Chemie AG, Werk Burghausen",Germany,4(a),48.185150504350794,12.84424296167955,578000.0,2024,spatial_nearest,0.0,https://registry.gdi-de.org/id/de.by.inspire.pf.ied/A00197g,https://registry.gdi-de.org/id/de.by.inspire.pf.ied/A00197g,Burghausen,1,1.0,48.185150504350794,12.84424296167955,8623.0,,,,0.04,,,,8623.04,8623.04
https://data.gov.sk/set/data/so/b4d884b3-4442-43db-a19c-ceb6e127960f/SK47025613.NRZ.FACILITY,https://data.gov.sk/set/data/so/b4d884b3-4442-43db-a19c-ceb6e127960f/SK47025613.NRZ,"Slovalco, a.s.",Slovakia,2(e)(i),48.564183,18.846948,135000.0,2022,spatial_nearest,0.952,https://data.gov.sk/set/data/so/9a2cec83-db6d-456c-b901-18680919f729/SK0012.NEIS,https://data.gov.sk/set/data/so/9a2cec83-db6d-456c-b901-18680919f729/SK0012.NEIS.PART,Žiar nad Hronom,1,1.0,48.568359,18.858241,56.66056682,99.0177433,,,,,,1303.03556115,155.67831012,1458.7138712699998
UK.SEPA/200000152.Facility,UK.SEPA/200000152.Facility,Lochaber Smelter,United Kingdom,2(e)(i),56.82787,-5.0721,108000.0,2014,no_match,,,,,0,,,,,,,,,,,,,
https://registry.gdi-de.org/id/de.bb.inspire.pf.eureg/45026224,https://registry.gdi-de.org/id/de.bb.inspire.pf.eureg/45026224,BASF Schwarzheide GmbH,Germany,4(a)(ii),51.48034,13.88698,316000.0,2024,spatial_nearest,0.266,DE.EEA/DE0480,DE.EEA/DE0480.PART,Schwarzheide,1,1.0,51.47847295,13.88937037,5858.01,,,,0.78,,,,5858.79,5858.79
ES.CAED/006524000.FACILITY,ES.CAED/006524000,"BIZKAIA ENERGIA, S.L.",Spain,1(c),43.252674,-2.734466,730000.0,2021,id_direct,0.0,ES.CAED/006524000; ES.CAED/006524001,ES.CAED/006524000.PART,AMOREBIETA,2,2.0,43.252674,-2.734466,13079.42,,,,,,,,13079.42,13079.42
FR.CAED/11416.FACILITY,FR.CAED/11416,ALBIOMA LE GOL,France,1(c),-21.27898,55.39911,532000.0,2024,id_direct,0.0,FR.CAED/11416,FR.CAED/11416.A.INSTALLATIONPART,ST LOUIS,1,1.0,-21.28168,55.39911,,601.394348,,,,,,4641.817383,601.394348,5243.211730999999
http://paikkatiedot.fi/so/1002031/pf/ProductionFacility/0000001337.ProductionFacility,http://paikkatiedot.fi/so/1002031/pf/ProductionFacility/0000001337.ProductionFacility,"Metsä Fibre Oy, Kaskisten tehdas",Finland,5(d),62.35616,21.24924,240000.0,2009,no_match,,,,,0,,,,,,,,,,,,,
http://paikkatiedot.fi/so/1002031/pf/ProductionFacility/0100334781.ProductionFacility,http://paikkatiedot.fi/so/1002031/pf/ProductionFacility/0100334781.ProductionFacility,"Metsä Fibre Oy, Kemin biotuotetehdas",Finland,6(a),65.75829,24.52726,613.0,2023,spatial_nearest,0.438,http://paikkatiedot.fi/so/1002031/pf/ProductionInstallationPart/0000011894.ProductionInstallationPart,http://paikkatiedot.fi/so/1002031/pf/ProductionInstallationPart/0000011894.ProductionInstallationPart,Kemi,1,1.0,65.75583,24.51977,,,,,,,,2080.0,,2080.0
ES.CAED/000169000.FACILITY,ES.CAED/000169000,HYCO (LA POBLA DE MAFUMENT),Spain,4(b)(i),41.186207,1.231349,275000.0,2024,spatial_nearest,0.798,ES.CAED/001562000,ES.CAED/001562000.PART,"Pobla de Mafumet, La",1,1.0,41.186628,1.221835,3358.6,,,,,,,,3358.6,3358.6
DK.CAED/000083543.FACILITY,DK.CAED/000083543,Nordic Sugar A/S  Nakskov,Denmark,8(b)(ii),54.83090330914613,11.147332871711853,59671.0,2023,spatial_nearest,0.0,DK.CAED/900000052,DK.CAED/900000052.PART,Nakskov,1,1.0,54.83090330914613,11.147332871711853,630.537,,,,325.481,,25.186,,956.018,981.2040000000001
IT.CAED/431222007.FACILITY,IT.CAED/431222007,BARILLA G. E R. F.LLI S.P.A. (Pedrignano),Italy,1(c),44.8336,10.3783,105177.681,2019,no_match,,,,,0,,,,,,,,,,,,,
DE.EEA/17928.FACILITY,DE.EEA/17928,Zellstoff Stendal GmbH,Germany,6(a),52.6906182450519,11.9858983281428,73100.0,2017,no_match,,,,,0,,,,,,,,,,,,,
