eprtr_facility_id,facility_name,country,iso3,analysis_year,temp_band,heat_MWh,least_cost_pathway_grid,least_cost_pathway_off,pathway_flip,lcoh_winner_grid,lcoh_winner_off,delta_winner_lcoh,lcoh_gas_grid,lcoh_gas_off,lcoh_hb_grid,lcoh_hb_off,lcoh_hp_grid,lcoh_hp_off,elec_grid_EUR_MWh,elec_off_hb_EUR_MWh,elec_off_hp_EUR_MWh,gas_EUR_MWh
SE.CAED/10019773.Facility,Vargön Alloys AB,Sweden,SWE,2024,high,12779.75,heat_battery,heat_battery,same,101.875,44.744,-57.131,143.072,143.072,101.875,44.744,,,89.75,38.332,139.78,115.586
http://paikkatiedot.fi/so/1002031/pf/ProductionFacility/0000001216.ProductionFacility,"Loimua Oy, Vanajan voimalaitos, Hämeenlinna",Finland,FIN,2024,mid,12578.5,heat_battery,heat_battery,same,94.153,44.744,-49.409000000000006,123.527,123.527,94.153,44.744,,,82.8,38.332,139.78,97.995
http://paikkatiedot.fi/so/1002031/pf/ProductionFacility/0000002336.ProductionFacility,"Mäntän Energia Oy, Voimalaitos",Finland,FIN,2024,mid,12411.11,heat_battery,heat_battery,same,94.153,44.744,-49.409000000000006,123.527,123.527,94.153,44.744,,,82.8,38.332,139.78,97.995
UK.CAED/EW_EA-1374.FACILITY,Teesside Polyethylene Plant EPR/TP3139UR,United Kingdom,GBR,2012,mid,10861.11,natural_gas,natural_gas,same,43.564,43.564,0.0,43.564,43.564,131.93,54.322,,,116.8,46.953,147.581,36.734
UK.CAED/EW_EA-16600.FACILITY,Wilton Olefins Installation,United Kingdom,GBR,2019,mid,10861.11,natural_gas,natural_gas,same,40.822,40.822,0.0,40.822,40.822,173.208,54.322,,,153.95,46.953,147.581,30.63
SE.CAED/10014156.Facility,SOLNAVERKET,Sweden,SWE,2021,mid,10758.33,heat_battery,heat_battery,same,96.208,44.744,-51.464,118.195,118.195,96.208,44.744,,,84.65,38.332,139.78,94.61
http://paikkatiedot.fi/so/1002031/pf/ProductionFacility/0000001269.ProductionFacility,"Metsä Fibre Oy, Joutsenon tehdas",Finland,FIN,2024,high,10302.78,heat_battery,heat_battery,same,94.153,44.744,-49.409000000000006,123.527,123.527,94.153,44.744,,,82.8,38.332,139.78,97.995
UK.SEPA/200000138.Facility,NGG North Sea Gas Terminal,United Kingdom,GBR,2010,mid,10222.22,natural_gas,natural_gas,same,32.535,32.535,0.0,32.535,32.535,112.653,54.322,,,99.45,46.953,147.581,25.192
SE.CAED/10020920.Facility,Karlskoga kraftvärmeverk,Sweden,SWE,2024,mid,10183.0,heat_battery,heat_battery,same,101.875,44.744,-57.131,143.072,143.072,101.875,44.744,,,89.75,38.332,139.78,115.586
EE.KAUR.TTR/13.FACILITY,"Gren Viru AS, Ahtme tipu- ja reservkatlamaja",Estonia,EST,2010,mid,10055.56,natural_gas,natural_gas,same,39.749,39.749,0.0,39.749,39.749,81.097,44.744,,,71.05,38.332,139.78,31.685
UK.SEPA/200001408.Facility,"Sullom Voe Terminal CHP, Shetland",United Kingdom,GBR,2019,mid,9938.61,natural_gas,natural_gas,same,40.822,40.822,0.0,40.822,40.822,173.208,54.322,,,153.95,46.953,147.581,30.63
SE.CAED/10024718.Facility,SCA Munksunds pappersbruk,Sweden,SWE,2024,high,9261.11,heat_battery,heat_battery,same,101.875,44.744,-57.131,143.072,143.072,101.875,44.744,,,89.75,38.332,139.78,115.586
SE.CAED/10024717.Facility,Smurfit Westrock Piteå AB,Sweden,SWE,2024,high,8800.0,heat_battery,heat_battery,same,101.875,44.744,-57.131,143.072,143.072,101.875,44.744,,,89.75,38.332,139.78,115.586
http://paikkatiedot.fi/so/1002031/pf/ProductionFacility/0000001409.ProductionFacility,"Stora Enso Oyj, Sunilan tehdas",Finland,FIN,2023,high,8611.11,heat_battery,heat_battery,same,104.486,44.744,-59.742000000000004,152.035,152.035,104.486,44.744,,,92.1,38.332,139.78,118.804
