eprtr_facility_id,facility_name,country,iso3,analysis_year,temp_band,heat_MWh,least_cost_pathway_grid,least_cost_pathway_off,pathway_flip,lcoh_winner_grid,lcoh_winner_off,delta_winner_lcoh,lcoh_gas_grid,lcoh_gas_off,lcoh_hb_grid,lcoh_hb_off,lcoh_hp_grid,lcoh_hp_off,elec_grid_EUR_MWh,elec_off_hb_EUR_MWh,elec_off_hp_EUR_MWh,gas_EUR_MWh
PL.MŚ/000000365.FACILITY,"Energetyka sp. z o.o., Elektrociepłownia E-2 Polkowice",Poland,POL,2022,mid,112166.67,natural_gas,heat_battery,natural_gas → heat_battery,124.872,44.744,-80.128,124.872,124.872,183.097,44.744,,,162.85,38.332,139.78,95.165
PL.MŚ/000000454.FACILITY,MICHELIN POLSKA  SPÓŁKA  AKCYJNA,Poland,POL,2022,mid,496772.22,natural_gas,heat_battery,natural_gas → heat_battery,124.872,44.744,-80.128,124.872,124.872,183.097,44.744,,,162.85,38.332,139.78,95.165
PL.MŚ/000000513.FACILITY,Polchar Sp. z o.o.,Poland,POL,2022,mid,228222.22,natural_gas,heat_battery,natural_gas → heat_battery,124.872,44.744,-80.128,124.872,124.872,183.097,44.744,,,162.85,38.332,139.78,95.165
PL.MŚ/000000165.FACILITY,Ciepłownia Kawęczyn,Poland,POL,2022,mid,258550.0,natural_gas,heat_battery,natural_gas → heat_battery,124.872,44.744,-80.128,124.872,124.872,183.097,44.744,,,162.85,38.332,139.78,95.165
IT.CAED/981491001.FACILITY,Centrale compressione gas di Messina,Italy,ITA,2023,mid,472135.13,natural_gas,heat_battery,natural_gas → heat_battery,114.548,38.962,-75.586,114.548,114.548,264.764,38.962,,,236.35,33.128,134.577,85.066
IT.CAED/130461001.FACILITY,CENTRALE DI LIVORNO FERRARIS,Italy,ITA,2023,mid,4971105.56,natural_gas,heat_battery,natural_gas → heat_battery,114.548,38.962,-75.586,114.548,114.548,264.764,38.962,,,236.35,33.128,134.577,85.066
IT.CAED/400351001.FACILITY,Centrale termoelettrica di Ostiglia,Italy,ITA,2023,mid,3715541.67,natural_gas,heat_battery,natural_gas → heat_battery,114.548,38.962,-75.586,114.548,114.548,264.764,38.962,,,236.35,33.128,134.577,85.066
IT.CAED/121002002.FACILITY,ENGIE SERVIZI S.p.A,Italy,ITA,2023,mid,279047.22,natural_gas,heat_battery,natural_gas → heat_battery,114.548,38.962,-75.586,114.548,114.548,264.764,38.962,,,236.35,33.128,134.577,85.066
IT.CAED/010351001.FACILITY,Centrale compressione gas di Gallese,Italy,ITA,2023,mid,303759.71,natural_gas,heat_battery,natural_gas → heat_battery,114.548,38.962,-75.586,114.548,114.548,264.764,38.962,,,236.35,33.128,134.577,85.066
IT.CAED/301761002.FACILITY,Impianto termoelettrico di Fusina,Italy,ITA,2023,mid,5626394.53,natural_gas,heat_battery,natural_gas → heat_battery,114.548,38.962,-75.586,114.548,114.548,264.764,38.962,,,236.35,33.128,134.577,85.066
