eprtr_facility_id,country,geo_code,energy_type,analysis_year,price_used_EUR_MWh,year_of_price_data,source_dataset,band,tax,unit,retrieval_date,source_url,flag
IE.CAED/W0232.FACILITY,Ireland,IE,electricity,2024,255.6,2024,Eurostat nrg_pc_205,IC (MWH500-1999),X_VAT,KWH,2026-05-28,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/nrg_pc_205,OK
IE.CAED/W0232.FACILITY,Ireland,IE,natural_gas,2024,75.078,2024,Eurostat nrg_pc_203,I3 (GJ10000-99999),X_VAT,KWH_GCV→LHV,2026-05-28,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/nrg_pc_203,OK
UK.CAED/EW_EA-1470.FACILITY,United Kingdom,UK,electricity,2017,125.5,2017,Eurostat nrg_pc_205,IC (MWH500-1999),X_VAT,KWH,2026-05-28,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/nrg_pc_205,OK
UK.CAED/EW_EA-1470.FACILITY,United Kingdom,UK,natural_gas,2017,26.358,2017,Eurostat nrg_pc_203,I3 (GJ10000-99999),X_VAT,KWH_GCV→LHV,2026-05-28,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/nrg_pc_203,OK
CZ.MZP.T803/CZ99166596.FACILITY,Czechia,CZ,electricity,2022,170.65,2022,Eurostat nrg_pc_205,IC (MWH500-1999),X_VAT,KWH,2026-05-28,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/nrg_pc_205,OK
CZ.MZP.T803/CZ99166596.FACILITY,Czechia,CZ,natural_gas,2022,83.346,2022,Eurostat nrg_pc_203,I3 (GJ10000-99999),X_VAT,KWH_GCV→LHV,2026-05-28,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/nrg_pc_203,OK
UK.CAED/EW_EA-1081.FACILITY,United Kingdom,UK,electricity,2019,153.95,2019,Eurostat nrg_pc_205,IC (MWH500-1999),X_VAT,KWH,2026-05-28,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/nrg_pc_205,OK
UK.CAED/EW_EA-1081.FACILITY,United Kingdom,UK,natural_gas,2019,30.63,2019,Eurostat nrg_pc_203,I3 (GJ10000-99999),X_VAT,KWH_GCV→LHV,2026-05-28,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/nrg_pc_203,OK
FR.EEA/058.00316.FACILITY,France,FR,electricity,2008,63.4,2008,Eurostat nrg_pc_205,IC (MWH500-1999),X_VAT,KWH,2026-05-28,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/nrg_pc_205,OK
FR.EEA/058.00316.FACILITY,France,FR,natural_gas,2008,40.119,2008,Eurostat nrg_pc_203,I3 (GJ10000-99999),X_VAT,KWH_GCV→LHV,2026-05-28,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/nrg_pc_203,OK
https://registry.gdi-de.org/id/de.nw.inspire.pf.bube-eureg/arb-2017-362040-300-0013790,Germany,DE,electricity,2024,234.35,2024,Eurostat nrg_pc_205,IC (MWH500-1999),X_VAT,KWH,2026-05-28,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/nrg_pc_205,OK
https://registry.gdi-de.org/id/de.nw.inspire.pf.bube-eureg/arb-2017-362040-300-0013790,Germany,DE,natural_gas,2024,77.187,2024,Eurostat nrg_pc_203,I3 (GJ10000-99999),X_VAT,KWH_GCV→LHV,2026-05-28,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/nrg_pc_203,OK
SE.CAED/10014262.Facility,Sweden,SE,electricity,2024,89.75,2024,Eurostat nrg_pc_205,IC (MWH500-1999),X_VAT,KWH,2026-05-28,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/nrg_pc_205,OK
SE.CAED/10014262.Facility,Sweden,SE,natural_gas,2024,115.586,2024,Eurostat nrg_pc_203,I3 (GJ10000-99999),X_VAT,KWH_GCV→LHV,2026-05-28,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/nrg_pc_203,OK
CZ.MZP.U422/CZ34736841.FACILITY,Czechia,CZ,electricity,2022,170.65,2022,Eurostat nrg_pc_205,IC (MWH500-1999),X_VAT,KWH,2026-05-28,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/nrg_pc_205,OK
CZ.MZP.U422/CZ34736841.FACILITY,Czechia,CZ,natural_gas,2022,83.346,2022,Eurostat nrg_pc_203,I3 (GJ10000-99999),X_VAT,KWH_GCV→LHV,2026-05-28,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/nrg_pc_203,OK
PL.MŚ/000000070.FACILITY,Poland,PL,electricity,2024,209.15,2024,Eurostat nrg_pc_205,IC (MWH500-1999),X_VAT,KWH,2026-05-28,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/nrg_pc_205,OK
PL.MŚ/000000070.FACILITY,Poland,PL,natural_gas,2024,81.015,2024,Eurostat nrg_pc_203,I3 (GJ10000-99999),X_VAT,KWH_GCV→LHV,2026-05-28,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/nrg_pc_203,OK
IT.CAED/090101001.FACILITY,Italy,IT,electricity,2024,218.2,2024,Eurostat nrg_pc_205,IC (MWH500-1999),X_VAT,KWH,2026-05-28,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/nrg_pc_205,OK
IT.CAED/090101001.FACILITY,Italy,IT,natural_gas,2024,62.093,2024,Eurostat nrg_pc_203,I3 (GJ10000-99999),X_VAT,KWH_GCV→LHV,2026-05-28,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/nrg_pc_203,OK
https://registry.gdi-de.org/id/de.th/5bf25e39-19d5-4254-adac-63f1b1cec499/86012942,Germany,DE,electricity,2024,234.35,2024,Eurostat nrg_pc_205,IC (MWH500-1999),X_VAT,KWH,2026-05-28,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/nrg_pc_205,OK
https://registry.gdi-de.org/id/de.th/5bf25e39-19d5-4254-adac-63f1b1cec499/86012942,Germany,DE,natural_gas,2024,77.187,2024,Eurostat nrg_pc_203,I3 (GJ10000-99999),X_VAT,KWH_GCV→LHV,2026-05-28,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/nrg_pc_203,OK
FR.CAED/173.FACILITY,France,FR,electricity,2011,82.85,2011,Eurostat nrg_pc_205,IC (MWH500-1999),X_VAT,KWH,2026-05-28,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/nrg_pc_205,OK
FR.CAED/173.FACILITY,France,FR,natural_gas,2011,41.229,2011,Eurostat nrg_pc_203,I3 (GJ10000-99999),X_VAT,KWH_GCV→LHV,2026-05-28,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/nrg_pc_203,OK
CZ.MZP.U426/CZ95978240.FACILITY,Czechia,CZ,electricity,2022,170.65,2022,Eurostat nrg_pc_205,IC (MWH500-1999),X_VAT,KWH,2026-05-28,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/nrg_pc_205,OK
