eprtr_facility_id,facility_name,country,iso3,analysis_year_grid,eprtr_activity_grid,temp_band,heat_MWh,match_method,least_cost_pathway_grid,least_cost_pathway_off,lcoh_gas_grid,lcoh_hb_grid,lcoh_hb_off,hb_savings_vs_grid_gas_EUR_MWhth,elec_grid_EUR_MWh,elec_off_hb_EUR_MWh,elec_ratio_grid_to_offhb,gas_EUR_MWh,bnef_data_source,lat,lon
https://registry.gdi-de.org/id/de.nw.inspire.pf.bube-eureg/arb-2017-112000-100-0888309,Venator Germany GmbH,Germany,DEU,2023,4(b)(v),mid,240611.11,spatial_nearest,natural_gas,heat_battery,115.596,244.764,47.885,67.71100000000001,218.35,41.159,5.305036565514225,86.009,bnef,51.43953,6.70524
https://registry.gdi-de.org/id/de.hb/de.hb.pf.bube-eureg.06-04-11/2005382/5/0,ArcelorMittal Bremen GmbH ,Germany,DEU,2023,2(b),high,127472.22,spatial_nearest,natural_gas,heat_battery,115.596,244.764,47.885,67.71100000000001,218.35,41.159,5.305036565514225,86.009,bnef,53.12494,8.68673
https://registry.gdi-de.org/id/de.bw.lubw.inspire.pf/pf-450-34044741-00000000,BEB Bioenergie Baden GmbH ,Germany,DEU,2023,5(a),high,59793.61,spatial_nearest,natural_gas,heat_battery,115.596,244.764,47.885,67.71100000000001,218.35,41.159,5.305036565514225,86.009,bnef,48.5829,7.81992
https://registry.gdi-de.org/id/de.nw.inspire.pf.bube-eureg/arb-2017-366044-300-0079450,Smurfit Westrock Zülpich Paper GmbH,Germany,DEU,2023,6(b),high,379667.22,spatial_nearest,natural_gas,heat_battery,115.596,244.764,47.885,67.71100000000001,218.35,41.159,5.305036565514225,86.009,bnef,50.70659,6.65301
https://registry.gdi-de.org/id/de.st.lau.pf.anlagen-ied-euregistry/100276,Mercer Stendal GmbH ,Germany,DEU,2023,6(a),high,28753.89,spatial_nearest,natural_gas,heat_battery,115.596,244.764,47.885,67.71100000000001,218.35,41.159,5.305036565514225,86.009,bnef,52.72827,12.00586
https://registry.gdi-de.org/id/de.nw.inspire.pf.bube-eureg/arb-2017-112000-100-0077961,Hüttenwerke Krupp Mannesmann GmbH,Germany,DEU,2023,2(b),high,449933.06,spatial_nearest,natural_gas,heat_battery,115.596,244.764,47.885,67.71100000000001,218.35,41.159,5.305036565514225,86.009,bnef,51.36823,6.71227
https://registry.gdi-de.org/id/de.he.0945.de7.pf.eu_industrie/20000004,Opel Automobile GmbH ,Germany,DEU,2023,9(c),mid,1153044.44,spatial_nearest,natural_gas,heat_battery,115.596,244.764,47.885,67.71100000000001,218.35,41.159,5.305036565514225,86.009,bnef,49.99482,8.39753
CZ.MZP.T802/CZ29145586.FACILITY,Provozovna Třinec,Czechia,CZE,2022,2(b),high,1456667.79,spatial_nearest,natural_gas,heat_battery,111.739,191.764,44.744,66.995,170.65,38.332,4.451893978921006,83.346,proxied,49.68810552,18.64728154
CZ.MZP.Z723/CZ92460364.FACILITY,CS CABOT,Czechia,CZE,2022,4(b)(v),mid,243695.32,spatial_nearest,natural_gas,heat_battery,111.739,191.764,44.744,66.995,170.65,38.332,4.451893978921006,83.346,proxied,49.50139807,17.95567516
CZ.MZP.E532/CZ53884341.FACILITY,Synthesia a. s.,Czechia,CZE,2022,4(a)(x),mid,687843.01,spatial_nearest,natural_gas,heat_battery,111.739,191.764,44.744,66.995,170.65,38.332,4.451893978921006,83.346,proxied,50.05719241,15.71540491
NL.RIVM/000024302.FACILITY,Crown van Gelder International B.V.,Netherlands,NLD,2022,6(b),high,263177.35,spatial_nearest,natural_gas,heat_battery,108.965,204.041,44.744,64.221,181.7,38.332,4.74016487530001,80.849,proxied,52.46697,4.63896
AT.CAED/9008391215752.FACILITY,EVN Wärmekraftwerke GmbH,Austria,AUT,2023,5(b),high,1744222.22,spatial_nearest,natural_gas,heat_battery,106.163,283.708,44.744,61.419,253.4,38.332,6.610664718772827,77.52,proxied,48.327389,15.932417
PL.MŚ/000000429.FACILITY,"Grupa Azoty Zakłady Chemiczne ""POLICE"" SA",Poland,POL,2024,4(b),mid,39891.67,spatial_nearest,natural_gas,heat_battery,104.661,234.541,44.744,59.917,209.15,38.332,5.456276740060524,81.015,proxied,53.5698280334473,14.5381364822388
PL.MŚ/000000072.FACILITY,International Paper - Kwidzyn Sp. z o.o.,Poland,POL,2024,6(b),high,2226938.89,id_direct,natural_gas,heat_battery,104.661,234.541,44.744,59.917,209.15,38.332,5.456276740060524,81.015,proxied,53.6997413635254,18.9216861724854
https://data.gov.sk/set/data/so/b4d884b3-4442-43db-a19c-ceb6e127960f/SK37021405.NRZ.FACILITY,Duslo a.s.,Slovakia,SVK,2022,4(c),mid,295113.37,spatial_nearest,natural_gas,heat_battery,103.786,257.097,44.744,59.042,229.45,38.332,5.985860377752269,76.188,proxied,48.181531,17.937156
https://data.gov.sk/set/data/so/b4d884b3-4442-43db-a19c-ceb6e127960f/SK47025613.NRZ.FACILITY,"Slovalco, a.s.",Slovakia,SVK,2022,2(e)(i),high,43243.98,spatial_nearest,natural_gas,heat_battery,103.786,257.097,44.744,59.042,229.45,38.332,5.985860377752269,76.188,proxied,48.564183,18.846948
https://data.gov.sk/set/data/so/b4d884b3-4442-43db-a19c-ceb6e127960f/SK37012102.NRZ.FACILITY,"SLOVNAFT, a.s.",Slovakia,SVK,2022,1(a),mid,2933727.37,spatial_nearest,natural_gas,heat_battery,103.786,257.097,44.744,59.042,229.45,38.332,5.985860377752269,76.188,proxied,48.119024,17.18056
FR.CAED/7560.FACILITY,ARKEMA FRANCE,France,FRA,2022,4(a)(iv),mid,393539.46,id_direct,natural_gas,heat_battery,102.183,143.264,45.593,56.59,127.0,39.096,3.2484141600163703,74.745,bnef,43.2833,5.49868
FR.CAED/5506.FACILITY,LA ROCHETTE CARTONBOARD SAS,France,FRA,2022,6(b),high,24547.67,id_direct,natural_gas,heat_battery,102.183,143.264,45.593,56.59,127.0,39.096,3.2484141600163703,74.745,bnef,45.4537,6.1185
NL.RIVM/000010057.FACILITY,Shell Nederland Raffinaderij BV,Netherlands,NLD,2024,1(a),mid,2575231.18,spatial_nearest,natural_gas,heat_battery,100.222,235.375,44.744,55.477999999999994,209.9,38.332,5.4758426380048,77.02,proxied,51.88013,4.33533
NL.RIVM/000051501.FACILITY,Zeeland Refinery N.V.,Netherlands,NLD,2024,1(a),mid,2368613.09,spatial_nearest,natural_gas,heat_battery,100.222,235.375,44.744,55.477999999999994,209.9,38.332,5.4758426380048,77.02,proxied,51.44562,3.72705
PT.CAED/PT.APA05763542.CI,"Repsol Polimeros , Lda. (CI)",Portugal,PRT,2023,4(a)(i),mid,196175.0,spatial_nearest,natural_gas,heat_battery,98.395,119.653,44.744,53.650999999999996,105.75,38.332,2.7587916101429615,70.528,proxied,37.984145,-8.83258
IE.CAED/W0232.FACILITY,Dublin Waste to Energy Limited,Ireland,IRL,2024,5(b),high,6188.89,spatial_nearest,natural_gas,heat_battery,98.064,286.153,44.744,53.31999999999999,255.6,38.332,6.66805801940937,75.078,proxied,53.338968,-6.200382
https://data.ied_registry.omgeving.vlaanderen.be/id/productionfacility/BE.VL.000000992.FACILITY,GREENPOWER OOSTENDE,Belgium,BEL,2023,5(b),high,637.9,spatial_nearest,natural_gas,heat_battery,91.736,248.43,44.744,46.992000000000004,221.65,38.332,5.782375039131796,64.535,proxied,51.21008,2.9953
https://data.ied_registry.omgeving.vlaanderen.be/id/productionfacility/BE.VL.000000162.FACILITY,INEOS STYROLUTION BELGIUM,Belgium,BEL,2023,4(a)(i),mid,16426.11,spatial_nearest,natural_gas,heat_battery,91.736,248.43,44.744,46.992000000000004,221.65,38.332,5.782375039131796,64.535,proxied,51.3623,4.26567
IT.CAED/741231002.FACILITY,RAFFINERIA DI TARANTO,Italy,ITA,2024,1(a),mid,908091.67,spatial_nearest,natural_gas,heat_battery,83.636,244.597,38.962,44.67399999999999,218.2,33.128,6.586573291475489,62.093,bnef,40.4892,17.193
IT.CAED/570162008.FACILITY,SOLVAY CHIMICA ITALIA S.P.A. ROSIGNANO,Italy,ITA,2024,4(b),mid,40277.78,id_direct,natural_gas,heat_battery,83.636,244.597,38.962,44.67399999999999,218.2,33.128,6.586573291475489,62.093,bnef,43.4089,10.4739
AT.CAED/9008390537091.FACILITY,Sappi Austria Produktions-GmbH & Co. KG,Austria,AUT,2024,6(b),high,1834014.49,spatial_nearest,natural_gas,heat_battery,85.301,223.986,44.744,40.557,199.65,38.332,5.208442032766357,63.592,proxied,47.134111,15.334056
AT.CAED/9008390661741.FACILITY,OMV Downstream GmbH,Austria,AUT,2024,1(a),mid,3051246.61,spatial_nearest,natural_gas,heat_battery,85.301,223.986,44.744,40.557,199.65,38.332,5.208442032766357,63.592,proxied,48.144722,16.493889
