source_id,eprtr_facility_name,iso3_country,eprtr_lat,eprtr_lon,eprtr_activity,process_heat_temp_band,process_temp_c,annual_heat_demand_MWh_th,load_mw,potential_mw_solar,suitable_land_adj_km2,land_feasibility_adj,overlap_n_neighbours,overlap_area_total_km2,bnef_year_used,epsilon_used
FR.CAED/44.FACILITY,SOLVAY FRANCE,FRA,47.03851,5.41265,4(a)(vi),mid,350.0,1189377.39,135.7737,15179.9,151.799,FEASIBLE,0,0.0,2025.0,0.8
FR.CAED/3839.FACILITY,TOTALENERGIES PETROCHEMICALS FRANCE,FRA,49.50488,0.20609,4(a)(i),mid,350.0,132600.02,15.137,0.0,0.0,INFEASIBLE,2,591.652,2025.0,0.8
PL.MŚ/000000058.FACILITY,ArcelorMittal Poland S.A. Oddział Dąbrowa Górnicza,POL,50.3461112976074,19.28444480896,2(b),high,750.0,85020.0,9.7055,3929.77,39.2977,FEASIBLE,1,222.1805,2025.0,0.72
IT.CAED/980571001.FACILITY,Raffineria di Milazzo S.C.p.A.,ITA,38.2027,15.2723,1(a),mid,350.0,217100.0,24.7831,1662.42,16.6242,FEASIBLE,0,0.0,2025.0,0.78
EL.CAED/100058.FACILITY,HELLENIC PETROLEUM R.S.S.O.P.P. S.A. –SOUTH REFINERIES COMPLEX – ELEFSIS INDUSTRIAL FACILITIES,GRC,38.04222,23.51083,1(a),mid,350.0,2346.5,0.2679,2303.18,23.0318,FEASIBLE,1,156.24,2025.0,0.78
IT.CAED/301751001.FACILITY,Raffineria di Venezia,ITA,45.4594,12.2667,4(a),mid,350.0,179568.89,20.4987,8877.23,88.7723,FEASIBLE,0,0.0,2025.0,0.8
FR.CAED/759.FACILITY,GASCOGNE PAPIER,FRA,44.20724,-1.2716,6(a),high,750.0,44341.0,5.0618,3577.79,35.7779,FEASIBLE,0,0.0,2025.0,0.82
IT.CAED/030392001.FACILITY,Stabilimento di Sora (FR),ITA,41.6994,13.5869,6(b),high,750.0,971133.16,110.8599,2719.78,27.1978,INFEASIBLE,0,0.0,2025.0,0.8
FR.CAED/146.FACILITY,SAICA PAPER FRANCE,FRA,49.36547,3.41373,6(a),high,750.0,48449.63,5.5308,5623.66,56.2366,FEASIBLE,1,225.777,2025.0,0.82
ES.CAED/001529000.FACILITY,"REPSOL PETRÓLEO, S.A. - C.I. CARTAGENA",ESP,37.622214,-0.982184,1(a),mid,350.0,1094374.67,124.9286,12805.32,128.0532,FEASIBLE,0,0.0,2025.0,0.78
FR.CAED/7626.FACILITY,LYONDELL CHIMIE FRANCE,FRA,43.42011,4.8602,4(a)(ii),mid,350.0,495422.73,56.5551,1194.14,11.9414,INFEASIBLE,5,647.983,2025.0,0.8
FR.CAED/4151.FACILITY,TEREOS STARCH & SWEETENERS LBN,FRA,49.48913,0.52521,4(a)(ii),mid,350.0,103025.69,11.7609,0.0,0.0,INFEASIBLE,2,513.1031,2025.0,0.8
EL.CAED/100062.FACILITY,HELLENIC PETROLEUM R.S.S.O.P.P. S.A. - THESSALONIKI INDUSTRIAL COMPLEX,GRC,40.67952,22.87819,1(a),mid,350.0,864798.78,98.7213,7335.97,73.3597,FEASIBLE,0,0.0,2025.0,0.78
EL.CAED/100053.FACILITY,HELLENIC PETROLEUM R.S.S.O.P.P. S.A. - INDUSTRIAL DIVISION OF ASPROPYRGOS,GRC,38.03236,23.60276,1(a),mid,350.0,630649.5,71.992,4022.43,40.2243,FEASIBLE,1,156.24,2025.0,0.78
FR.CAED/3829.FACILITY,YARA FRANCE,FRA,49.50521,0.20993,4(b)(i),mid,350.0,567130.02,64.7409,135.81,1.3581,INFEASIBLE,2,596.9872,2025.0,0.82
IT.CAED/570162008.FACILITY,SOLVAY CHIMICA ITALIA S.P.A. ROSIGNANO,ITA,43.4089,10.4739,4(b),mid,350.0,33027.78,3.7703,6495.24,64.9524,FEASIBLE,0,0.0,2025.0,0.82
PL.MŚ/000000072.FACILITY,International Paper - Kwidzyn Sp. z o.o.,POL,53.6997413635254,18.9216861724854,6(b),high,750.0,1781551.11,203.3734,15279.46,152.7946,INFEASIBLE,0,0.0,2025.0,0.8
FR.CAED/9481.FACILITY,ALSACHIMIE,FRA,47.8265,7.54591,4(a)(ii),mid,350.0,497213.11,56.7595,5659.44,56.5944,FEASIBLE,2,518.9236,2025.0,0.8
FR.CAED/9469.FACILITY,BUTACHIMIE,FRA,47.81907,7.53852,4(a)(iv),mid,350.0,69840.89,7.9727,0.0,0.0,INFEASIBLE,2,538.1652,2025.0,0.8
IT.CAED/240442002.FACILITY,Tenaris Dalmine - Stabilimento di Dalmine,ITA,45.6425,9.5969,2(b),high,750.0,313260.0,35.7603,14038.46,140.3846,FEASIBLE,0,0.0,2025.0,0.72
IT.CAED/960101007.FACILITY,Versalis S.p.A.,ITA,37.167,15.1973,4(a),mid,350.0,611471.47,69.8027,0.0,0.0,INFEASIBLE,2,470.6973,2025.0,0.8
PL.MŚ/000000023.FACILITY,LOTOS ASfalt Sp. z o.o.,POL,54.3499298095703,18.7296676635742,1(a),mid,350.0,849.33,0.097,7389.5,73.895,FEASIBLE,0,0.0,2025.0,0.78
FR.CAED/6088.FACILITY,ARKEMA FRANCE,FRA,49.1401,6.70733,4(a)(ii),mid,350.0,292993.53,33.4468,6085.4,60.854,FEASIBLE,0,0.0,2025.0,0.8
FR.CAED/8363.FACILITY,ENORIS,FRA,48.71938,2.27887,5(b),high,750.0,54333.95,6.2025,5514.89,55.1489,FEASIBLE,0,0.0,2025.0,0.85
FR.CAED/7874.FACILITY,PETROINEOS MANUFACTURING FRANCE SAS,FRA,43.38403,5.02829,1(a),mid,350.0,1571463.86,179.3909,1942.78,19.4278,INFEASIBLE,6,784.7707,2025.0,0.78
